id,title,summary,full_text,link,source,category,subcategory,location,impact,severity,keywords,timestamp,processed_at
1765300529426,Landslide evacuation warning issued to several areas in four districts extended,The Level-3 (Red) landslide evacuation warning issued to multiple areas in four districts has been extended. MORE..,President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115810/landslide-evacuation-warning-issued-to-several-areas-in-four-districts-extended,ada_derana,government,government_general,Sri Lanka,Policy changes announced. Impact on services expected.,medium,[],2025-12-09T22:45:29.426127,2025-12-09T22:45:29.434361
1765300529441,Co-pilot of helicopter that crashed into Gin Oya in Lunuwila testifies in court,"Flight Lieutenant Eranga Chamara Ekanayake, the co-pilot of the Sri Lanka Air Force Bell 212 aircraft that crashed into the Gin Oya in Lunuwila, Wennappuwa, has stated in court that both the main pilot and he realized there was a technical defect in the aircraft before it crashed. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115809/co-pilot-of-helicopter-that-crashed-into-gin-oya-in-lunuwila-testifies-in-court,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-09T22:45:29.441107,2025-12-09T22:45:29.441336
1765300529443,"Office trains from Rambukkana, Polgahawela and Kurunegala to resume tomorrow",The Department of Railways has announced that several office trains on the main line will resume operations tomorrow (10). MORE..,President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115808/office-trains-from-rambukkana-polgahawela-and-kurunegala-to-resume-tomorrow,ada_derana,government,government_general,Kurunegala,Public administration update.,info,[],2025-12-09T22:45:29.443249,2025-12-09T22:45:29.443356
1765300529444,International airlines expect to transport record 5.2 billion passengers in 2026: IATA,"International airlines expect to transport a record 5.2 billion passengers in 2026 despite global headwinds affecting the sector, the industrys trade association said on Tuesday. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115807/international-airlines-expect-to-transport-record-52-billion-passengers-in-2026-iata,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-09T22:45:29.444862,2025-12-09T22:45:29.444916
1765300529445,"Sri Lankas death toll from adverse weather continues to climb, 203 still missing","The death toll due to the adverse weather conditions experienced in the country over the past few days has climbed to 639, the Disaster Management Center (DMC) has confirmed. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115806/sri-lankas-death-toll-from-adverse-weather-continues-to-climb-203-still-missing-,ada_derana,government,government_general,Sri Lanka,Major government announcement affecting public services.,high,[],2025-12-09T22:45:29.445580,2025-12-09T22:45:29.445703
1765300529447,EU releases 1.8 million in emergency assistance for Sri Lanka,"The European Union has released 1.8 million in emergency assistance for Sri Lanka, in response to the devastating landslide and floods in recent days. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115804/eu-releases-18-million-in-emergency-assistance-for-sri-lanka,ada_derana,weather,floods,Sri Lanka,Severe weather conditions posing risks to public safety. Follow official warnings.,high,[],2025-12-09T22:45:29.447452,2025-12-09T22:45:29.447510
1765300529449,Govt urges public not to share personnel information with unauthorized individuals,The general public has been requested not to be misled by fraudulent messages and to refrain from sharing personal information with individuals who claimed to be involved in programmes to provide relief to those affected by Cyclone Ditwah. MORE..,President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115803/govt-urges-public-not-to-share-personnel-information-with-unauthorized-individuals,ada_derana,weather,rainfall_alerts,Sri Lanka,Weather advisory in effect. Minor inconveniences possible.,low,[],2025-12-09T22:45:29.449158,2025-12-09T22:45:29.449205
1765300529450,Train collides with car at Piyadigama railway crossing in Galle,An accident occurred when a car collided with a train at the Piyadigama railway crossing in Galle. MORE..,President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115802/train-collides-with-car-at-piyadigama-railway-crossing-in-galle,ada_derana,traffic,road_accident,Galle,Minor traffic updates. Motorists advised to exercise caution.,low,[],2025-12-09T22:45:29.449947,2025-12-09T22:45:29.450116
1765300529451,Cyclone Ditwah causes extensive pollution along 143km stretch of Sri Lankas coastline,"A total of 143.03 kilometers of Sri Lankas coastline have been polluted due to heavy flooding caused by the impact of Cyclone Ditwah, according to the Marine Environment Protection Authority (MEPA). MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115801/cyclone-ditwah-causes-extensive-pollution-along-143km-stretch-of-sri-lankas-coastline,ada_derana,weather,floods,Sri Lanka,Weather advisory in effect. Minor inconveniences possible.,low,[],2025-12-09T22:45:29.451416,2025-12-09T22:45:29.451504
1765300529452,"National Audit Office to conduct over 3,500 audits in 2026","The National Audit Office is scheduled to conduct a total of 3,508 audits in 2026. MORE..",President directs officials to calculate compensation in an orderly and fair manner (English),https://www.adaderana.lk/news/115800/national-audit-office-to-conduct-over-3500-audits-in-2026,ada_derana,government,government_general,Sri Lanka,Public administration update.,info,[],2025-12-09T22:45:29.452654,2025-12-09T22:45:29.452696
